RANK,NAME,TEAM,POS,AGE,FTA,FT_PCT,TwoPA,TwoP_PCT,ThreePA,ThreeP_PCT,eFG_PCT,TS_PCT
170,Ivica Zubac,Lac,C,22.24,3,0.667,18,0.5,0,0,0.5,0.518
171,Jared Dudley,Bro,F,33.93,4,1,2,0.5,9,0.222,0.364,0.47
172,Rondae Hollis-Jefferson,Bro,F,24.44,25,0.8,32,0.469,1,1,0.5,0.602
173,Thabo Sefolosha,Uta,F,35.12,0,0,6,0.167,8,0.125,0.179,0.179
174,Furkan Korkmaz,Phi,G-F,21.89,5,0.8,10,0.3,8,0.375,0.417,0.47
175,Brad Wanamaker,Bos,G,29.89,4,0.75,6,0.333,1,1,0.5,0.571
176,Guerschon Yabusele,Bos,F,23.49,7,0.571,3,0.667,1,0,0.5,0.565
177,Amir Johnson,Phi,F-C,32.12,0,0,4,1,0,0,1,1
178,Ed Davis,Bro,C,30.03,2,1,10,0.7,0,0,0.7,0.735
179,Doug McDermott,Ind,F,27.44,4,0.5,3,0.667,7,0,0.2,0.255
180,Aaron Holiday,Ind,G,22.7,0,0,3,0.333,2,0.5,0.5,0.5
181,Raul Neto,Uta,G,27.07,0,0,5,0.2,1,0,0.167,0.167
182,Deonte Burton,Okc,G,25.37,0,0,3,0.333,2,0,0.2,0.2
183,Abdel Nader,Okc,F,25.72,0,0,2,0.5,0,0,0.5,0.5
184,Jose Calderon,Det,G,37.71,0,0,0,0,0,0,0,0
185,Glenn Robinson III,Det,G-F,25.43,4,1,7,0.429,8,0.125,0.3,0.388
186,Khyri Thomas,Det,G,23.1,1,1,8,0.625,4,0.25,0.542,0.563
187,Shabazz Napier,Bro,G,27.92,8,0.875,6,0.667,5,0.6,0.773,0.826
188,Theo Pinson,Bro,G-F,23.61,0,0,1,0,7,0.429,0.563,0.563
189,Melvin Frazier Jr.,Orl,G-F,22.79,2,0.5,5,0.4,0,0,0.4,0.425
190,Jerian Grant,Orl,G,26.68,1,1,3,0.667,7,0,0.2,0.239
191,Jarell Martin,Orl,F,25.06,2,0,2,1,7,0.286,0.556,0.506
192,Jarred Vanderbilt,Den,F,20.2,0,0,0,0,0,0,0,0
193,Robert Williams III,Bos,F-C,21.66,2,1,2,0.5,0,0,0.5,0.694
194,Trey Lyles,Den,F,23.61,0,0,1,0,1,0,0,0
195,Skal Labissiere,Por,F,23.24,1,0,2,0.5,2,0,0.25,0.225
196,Damian Jones,Gol,C,23.96,2,0.5,1,1,0,0,1,0.798
197,DeMarcus Cousins,Gol,C,28.84,25,0.64,41,0.439,12,0.25,0.425,0.477
198,Grayson Allen,Uta,G,23.68,7,0.714,4,0.5,3,0,0.286,0.446
199,Ekpe Udoh,Uta,F-C,32.07,0,0,1,0,0,0,0,0
200,Tyrone Wallace,Lac,G,25.01,3,0.667,4,0.25,0,0,0.25,0.376
201,Zaza Pachulia,Det,C,35.34,2,0.5,6,0.333,0,0,0.333,0.363
202,Gary Clark,Hou,F,24.58,0,0,0,0,0,0,0,0
203,Isaiah Hartenstein,Hou,F-C,21.11,0,0,2,1,0,0,1,1
204,Blake Griffin,Det,F,30.25,7,1,26,0.462,13,0.462,0.538,0.582
205,Dzanan Musa,Bro,G-F,20.1,0,0,2,1,1,0,0.667,0.667
206,Zhaire Smith,Phi,G,20.03,0,0,0,0,0,0,0,0
207,Marcus Smart,Bos,G,25.27,6,0.667,0,0,11,0.091,0.136,0.257
208,Chris Boucher,Tor,F,26.42,1,0,2,0.5,3,0.333,0.5,0.46
209,TJ Leaf,Ind,F,22.12,2,1,2,0,1,0,0,0.258
210,Jon Leuer,Det,F,30.09,1,0,2,0.5,0,0,0.5,0.41
211,Kyle O'Quinn,Ind,C,29.22,0,0,0,0,0,0,0,0
212,Edmond Sumner,Ind,G,23.45,0,0,0,0,0,0,0,0
